,PREDDEG,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_MEN
2843,3.0,2.0,1395.0,0.5068,0.2007,0.1419,0.0358,0.0029,0.0014,0.0072,0.0165,0.0867,0.3477
2844,3.0,2.0,807.0,0.6716,0.0843,0.0384,0.0434,0.0,0.0,0.0917,0.0496,0.0211,0.4535
2845,4.0,2.0,,,,,,,,,,,
2846,3.0,2.0,1311.0,0.4317,0.0854,0.0519,0.3257,0.0,0.0,0.0564,0.0252,0.0236,0.3219
2847,2.0,1.0,10881.0,0.219,0.4137,0.1678,0.0998,0.0026,0.0024,0.0347,0.0323,0.0276,0.3182
2848,3.0,1.0,1154.0,0.6724,0.1473,0.0589,0.0373,0.0026,0.0009,0.0442,0.0191,0.0173,0.422
2849,3.0,1.0,1317.0,0.7859,0.0676,0.0532,0.0304,0.0008,0.0,0.0372,0.0046,0.0205,0.429
2850,3.0,1.0,2116.0,0.7935,0.0425,0.0506,0.0236,0.0009,0.0005,0.0222,0.0099,0.0562,0.5643
2851,3.0,1.0,19961.0,0.6408,0.054,0.0637,0.1347,0.0004,0.0003,0.0456,0.0426,0.0178,0.4433
2852,2.0,1.0,32.0,0.8438,0.0,0.0313,0.0313,0.0313,0.0,0.0313,0.0,0.0313,0.1563
2853,1.0,3.0,34.0,0.6471,0.3529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2854,1.0,2.0,609.0,0.8079,0.0575,0.046,0.0164,0.0033,0.0016,0.0361,0.0312,0.0,0.9195
2855,2.0,2.0,191.0,0.7749,0.089,0.0157,0.0052,0.0,0.0,0.0576,0.0576,0.0,0.3403
2856,2.0,2.0,1169.0,0.7074,0.0907,0.0214,0.0094,0.0009,0.0034,0.0599,0.0026,0.1044,0.5834
2857,4.0,2.0,,,,,,,,,,,
2858,3.0,2.0,2567.0,0.702,0.1231,0.0748,0.0214,0.0016,0.0004,0.0413,0.0273,0.0082,0.3701
2859,1.0,2.0,65.0,0.9692,0.0154,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.2308
2860,1.0,3.0,58.0,0.9483,0.0172,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0
2861,2.0,1.0,3242.0,0.3917,0.112,0.4346,0.0194,0.0043,0.0031,0.0296,0.0009,0.0043,0.3149
2862,1.0,2.0,288.0,0.7882,0.0382,0.1215,0.0139,0.0035,0.0,0.0278,0.0,0.0069,0.1458
2863,4.0,2.0,,,,,,,,,,,
2864,2.0,3.0,245.0,0.498,0.2816,0.102,0.0408,0.0,0.0,0.0653,0.0,0.0122,0.4
2865,3.0,2.0,2986.0,0.7549,0.068,0.0345,0.0124,0.0007,0.001,0.0583,0.0553,0.0151,0.5519
2866,2.0,2.0,484.0,0.814,0.1322,0.0165,0.0041,0.0021,0.0,0.031,0.0,0.0,0.8884
2867,3.0,2.0,425.0,0.3012,0.2376,0.1224,0.0165,0.0,0.0024,0.0306,0.0071,0.2824,0.4376
2868,3.0,2.0,1699.0,0.7999,0.0659,0.0129,0.0259,0.0035,0.0018,0.0259,0.0065,0.0577,0.3696
2869,3.0,2.0,4112.0,0.7554,0.0579,0.0922,0.0338,0.0012,0.001,0.0299,0.0173,0.0114,0.4745
2870,3.0,2.0,1383.0,0.8077,0.0535,0.0571,0.013,0.0,0.0022,0.0318,0.0123,0.0224,0.5611
2871,4.0,2.0,,,,,,,,,,,
2872,1.0,1.0,58.0,0.9483,0.0,0.0345,0.0,0.0,0.0,0.0172,0.0,0.0,0.2414
2873,3.0,2.0,3433.0,0.7606,0.0265,0.1116,0.0358,0.0012,0.0017,0.0262,0.0064,0.03,0.4174
2874,3.0,2.0,1635.0,0.811,0.0783,0.0398,0.019,0.0024,0.0006,0.0281,0.0012,0.0196,0.3535
